Date,MONTH1,MONTH2
2022-03-21 11:50:25,MAR-22|2022-03-30 09:10:00|UNKNOWN,APR-22|2022-04-28 09:10:00|UNKNOWN
2022-03-30 20:06:54,MAY-22|2022-05-30 09:10:00|UNKNOWN,APR-22|2022-04-28 09:10:00|UNKNOWN
2022-04-28 20:06:55,MAY-22|2022-05-30 09:10:00|UNKNOWN,JUN-22|2022-06-29 09:10:00|UNKNOWN
2022-05-30 20:06:55,JUL-22|2022-07-28 09:10:00|UNKNOWN,JUN-22|2022-06-29 09:10:00|UNKNOWN
2022-07-11 20:06:54,JUL-22|2022-07-28 09:10:00|UNKNOWN,AUG-22|2022-08-30 09:10:00|UNKNOWN
2022-07-28 20:06:56,SEP-22|2022-09-29 09:10:00|UNKNOWN,AUG-22|2022-08-30 09:10:00|UNKNOWN
2022-08-30 20:06:56,SEP-22|2022-09-29 09:10:00|UNKNOWN,OCT-22|2022-10-28 09:10:00|UNKNOWN
2022-09-29 20:06:54,NOV-22|2022-11-29 10:10:00|UNKNOWN,OCT-22|2022-10-28 09:10:00|UNKNOWN
2022-10-28 20:06:53,NOV-22|2022-11-29 10:10:00|UNKNOWN,DEC-22|2022-12-29 10:10:00|UNKNOWN
2022-11-29 20:06:55,JAN-23|2023-01-30 10:10:00|UNKNOWN,DEC-22|2022-12-29 10:10:00|UNKNOWN
2022-12-29 20:06:56,JAN-23|2023-01-30 10:10:00|UNKNOWN,FEB-23|2023-02-27 10:10:00|UNKNOWN
2023-01-30 20:06:54,MAR-23|2023-03-30 09:10:00|UNKNOWN,FEB-23|2023-02-27 10:10:00|UNKNOWN
2023-02-09 19:13:05,MAR-23|2023-03-30 09:10:00|OFFLINE,FEB-23|2023-02-27 10:10:00|TRADEABLE
2023-02-23 11:16:53,MAR-23|2023-03-30 09:10:00|TRADEABLE,FEB-23|2023-02-27 10:10:00|TRADEABLE
2023-02-27 12:08:48,MAR-23|2023-03-30 09:10:00|TRADEABLE,APR-23|2023-04-27 09:10:00|OFFLINE
2023-03-28 18:00:26,MAR-23|2023-03-30 09:10:00|TRADEABLE,APR-23|2023-04-27 09:10:00|TRADEABLE
2023-03-31 11:17:29,MAY-23|2023-05-30 09:10:00|OFFLINE,APR-23|2023-04-27 09:10:00|TRADEABLE
2023-04-26 11:16:56,MAY-23|2023-05-30 09:10:00|TRADEABLE,APR-23|2023-04-27 09:10:00|TRADEABLE
2023-04-28 11:16:55,MAY-23|2023-05-30 09:10:00|TRADEABLE,JUN-23|2023-06-28 09:10:00|OFFLINE
2023-05-30 11:16:55,MAY-23|2023-05-30 09:10:00|TRADEABLE,JUN-23|2023-06-28 09:10:00|TRADEABLE
2023-05-31 11:19:06,JUL-23|2023-07-28 09:10:00|OFFLINE,JUN-23|2023-06-28 09:10:00|TRADEABLE
2023-06-27 11:17:57,JUL-23|2023-07-28 09:10:00|TRADEABLE,JUN-23|2023-06-28 09:10:00|TRADEABLE
2023-06-29 11:17:25,JUL-23|2023-07-28 09:10:00|TRADEABLE,AUG-23|2023-08-30 09:10:00|OFFLINE
2023-07-27 11:16:55,JUL-23|2023-07-28 09:10:00|TRADEABLE,AUG-23|2023-08-30 09:10:00|TRADEABLE
2023-07-31 11:16:50,SEP-23|2023-09-28 09:10:00|OFFLINE,AUG-23|2023-08-30 09:10:00|TRADEABLE
2023-08-29 11:16:56,SEP-23|2023-09-28 09:10:00|TRADEABLE,AUG-23|2023-08-30 09:10:00|TRADEABLE
2023-08-30 11:16:55,SEP-23|2023-09-28 09:10:00|TRADEABLE,OCT-23|2023-10-30 10:10:00|OFFLINE
2023-09-26 11:16:56,SEP-23|2023-09-28 09:10:00|TRADEABLE,OCT-23|2023-10-30 10:10:00|TRADEABLE
